date,Cases
15-Feb,3
16-Feb,3
17-Feb,3
18-Feb,3
19-Feb,3
20-Feb,3
21-Feb,3
22-Feb,3
23-Feb,3
24-Feb,3
25-Feb,3
26-Feb,3
27-Feb,3
28-Feb,3
29-Feb,3
1-Mar,3
2-Mar,6
3-Mar,7
4-Mar,29
5-Mar,30
6-Mar,31
7-Mar,34
8-Mar,40
9-Mar,47
10-Mar,62
11-Mar,62
12-Mar,74
13-Mar,82
14-Mar,100
15-Mar,114
16-Mar,119
17-Mar,143
18-Mar,169
19-Mar,194
20-Mar,249
21-Mar,332
22-Mar,396
23-Mar,499
24-Mar,536
25-Mar,657
26-Mar,727
27-Mar,887
28-Mar,987
29-Mar,1024
30-Mar,1251
31-Mar,1397
1-Apr,1998
2-Apr,2543
3-Apr,3059
4-Apr,3588
5-Apr,4289
6-Apr,4778
7-Apr,5351
8-Apr,5916
9-Apr,6725
10-Apr,7600
11-Apr,8446
12-Apr,9205
13-Apr,10453
14-Apr,11487
15-Apr,12370
16-Apr,13430
17-Apr,14352
18-Apr,16365
19-Apr,17615
20-Apr,18539
21-Apr,20080
22-Apr,21370
23-Apr,23039
24-Apr,24447
25-Apr,26283
26-Apr,27890
27-Apr,29451
28-Apr,31324
29-Apr,33062
30-Apr,35043
